GeoName,Year,variable,value,pop_i,pop_j,euc_dist,In_Mig,per_cap_per_inc,Tot_emp,Out_Mig,Net_Mig,per_cap_per_inc_j,Tot_emp_j
Alabama,2011,Arizona,1677,4799642,6473416,24.8817408146662,114696,34991,2497933,105445,9251,34968,3239045
Alabama,2011,Arkansas,1642,4799642,2941038,5.99456062204918,114696,34991,2497933,105445,9251,33856,1561948
Alabama,2011,California,3389,4799642,37636311,33.0855664512805,114696,34991,2497933,105445,9251,46177,19986021
Alabama,2011,Colorado,348,4799642,5121900,19.7223165819368,114696,34991,2497933,105445,9251,43568,3204078
Alabama,2011,Connecticut,2921,4799642,3588632,16.6389979271702,114696,34991,2497933,105445,9251,63793,2206269
Alabama,2011,Delaware,232,4799642,907590,12.9116523638172,114696,34991,2497933,105445,9251,43881,530400
Alabama,2011,District of Columbia,399,4799642,620290,11.5610073218641,114696,34991,2497933,105445,9251,67366,826761
Alabama,2011,Florida,20063,4799642,19055607,5.9891092977696,114696,34991,2497933,105445,9251,40126,10036634
Alabama,2011,Georgia,19346,4799642,9803630,3.38468634544483,114696,34991,2497933,105445,9251,36572,5325616
Alabama,2011,Idaho,137,4799642,1584272,30.1514969123515,114696,34991,2497933,105445,9251,33506,878541
Alabama,2011,Illinois,6991,4799642,12867783,7.65107542935861,114696,34991,2497933,105445,9251,44139,7376100
Alabama,2011,Indiana,1434,4799642,6517250,7.1391186758849,114696,34991,2497933,105445,9251,37646,3590196
Alabama,2011,Iowa,30,4799642,3066772,11.4329651547189,114696,34991,2497933,105445,9251,40942,1975960
Alabama,2011,Kansas,842,4799642,2869677,12.8793229857087,114696,34991,2497933,105445,9251,42709,1819044
Alabama,2011,Kentucky,2686,4799642,4370817,4.98109752055639,114696,34991,2497933,105445,9251,34616,2368202
Alabama,2011,Louisiana,2413,4799642,4576244,5.44294212410297,114696,34991,2497933,105445,9251,38701,2564944
Alabama,2011,Maine,626,4799642,1328473,21.6371863825477,114696,34991,2497933,105445,9251,39462,794389
Alabama,2011,Maryland,1606,4799642,5840241,11.837388505843,114696,34991,2497933,105445,9251,52426,3394831
Alabama,2011,Massachusetts,112,4799642,6614218,17.746086068917,114696,34991,2497933,105445,9251,55296,4175311
Alabama,2011,Michigan,2797,4799642,9883053,10.917835980458,114696,34991,2497933,105445,9251,37506,5165348
Alabama,2011,Minnesota,327,4799642,5346620,15.4570772246487,114696,34991,2497933,105445,9251,45345,3469201
Alabama,2011,Mississippi,3945,4799642,2979147,2.83759875603229,114696,34991,2497933,105445,9251,32155,1509941
Alabama,2011,Missouri,1086,4799642,6011182,7.93854309848409,114696,34991,2497933,105445,9251,38334,3506571
Alabama,2011,Montana,317,4799642,997518,26.8976490252795,114696,34991,2497933,105445,9251,38172,623175
Alabama,2011,Nebraska,770,4799642,1840914,15.648712917564,114696,34991,2497933,105445,9251,45420,1232457
Alabama,2011,Nevada,257,4799642,2713114,30.5412530271869,114696,34991,2497933,105445,9251,38546,1501839
Alabama,2011,New Hampshire,64,4799642,1320444,18.7425779288207,114696,34991,2497933,105445,9251,48915,818789
Alabama,2011,New Jersey,1996,4799642,8828552,14.237834845523,114696,34991,2497933,105445,9251,53691,5018505
Alabama,2011,New Mexico,119,4799642,2080707,19.3491553431003,114696,34991,2497933,105445,9251,34998,1064267
Alabama,2011,New York,1108,4799642,19499921,15.208170555399,114696,34991,2497933,105445,9251,51494,11294064
Alabama,2011,North Carolina,2697,4799642,9658913,7.94015585266918,114696,34991,2497933,105445,9251,36759,5292814
Alabama,2011,North Dakota,284,4799642,685526,20.0220007332487,114696,34991,2497933,105445,9251,47966,529779
Alabama,2011,Ohio,2596,4799642,11545735,8.51861258777688,114696,34991,2497933,105445,9251,39063,6521658
Alabama,2011,Oklahoma,973,4799642,3788824,11.0393904009315,114696,34991,2497933,105445,9251,39033,2158874
Alabama,2011,Oregon,169,4799642,3872672,35.5213487719158,114696,34991,2497933,105445,9251,37812,2201553
Alabama,2011,Pennsylvania,1075,4799642,12747052,12.1184321152575,114696,34991,2497933,105445,9251,44201,7217098
Alabama,2011,Rhode Island,0,4799642,1053829,17.6499276485593,114696,34991,2497933,105445,9251,44663,591692
Alabama,2011,South Carolina,2036,4799642,4672655,6.03630154561345,114696,34991,2497933,105445,9251,34068,2427409
Alabama,2011,South Dakota,90,4799642,823740,17.7552591495404,114696,34991,2497933,105445,9251,44604,566480
Alabama,2011,Tennessee,8710,4799642,6400298,3.09086542353073,114696,34991,2497933,105445,9251,37610,3589041
Alabama,2011,Texas,7973,4799642,25645504,12.5925259082707,114696,34991,2497933,105445,9251,41245,14681432
Alabama,2011,Utah,300,4799642,2814797,25.6946488672117,114696,34991,2497933,105445,9251,34193,1664426
Alabama,2011,Vermont,66,4799642,627197,18.1109646138954,114696,34991,2497933,105445,9251,43774,416949
Alabama,2011,Virginia,4935,4799642,8102437,9.24245058021394,114696,34991,2497933,105445,9251,47764,4802678
Alabama,2011,Washington,2621,4799642,6827479,36.6310897003859,114696,34991,2497933,105445,9251,44670,3814305
Alabama,2011,West Virginia,65,4799642,1856606,8.53620314180072,114696,34991,2497933,105445,9251,34121,909035
Alabama,2011,Wisconsin,417,4799642,5705840,12.2642896797812,114696,34991,2497933,105445,9251,41170,3474418
Alabama,2011,Wyoming,9,4799642,567491,23.1015547725307,114696,34991,2497933,105445,9251,49968,390303
Alabama,2012,Arizona,962,4816632,6556344,24.8817408146662,102969,35877,2503678,107505,-4536,36125,3295537
